"","Person","Age","Gender","Group","Container","Percentage"
"421",31,18,"female","1","Container_7",0.93
"422",32,22,"female","2","Container_7",0.84
"423",33,24,"female","1","Container_7",0.833
"424",34,22,"male","2","Container_7",0.833
"425",35,20,"female","1","Container_7",0.708
"426",36,18,"female","2","Container_7",0.678
"427",37,27,"female","1","Container_7",0.808
"428",38,19,"female","2","Container_7",0.68
"429",39,20,"female","1","Container_7",0.742
"430",40,19,"female","2","Container_7",0.674
"431",41,18,"female","1","Container_7",0.674
"432",42,19,"female","2","Container_7",0.83
"433",43,20,"female","1","Container_7",0.808
"434",44,18,"female","2","Container_7",0.89
"435",45,18,"male","1","Container_7",0.675
"436",46,24,"female","2","Container_7",0.876
"437",47,18,"female","1","Container_7",0.618
"438",48,18,"female","2","Container_7",0.746
"439",49,22,"female","1","Container_7",0.82
"440",50,22,"female","2","Container_7",0.853
"441",51,20,"female","1","Container_7",0.887
"442",52,22,"male","2","Container_7",0.761
"443",53,18,"female","1","Container_7",0.72
"444",54,18,"female","2","Container_7",0.798
"445",55,18,"female","1","Container_7",0.964
"446",56,18,"female","2","Container_7",0.851
"447",57,18,"female","1","Container_7",0.666
"448",58,18,"female","2","Container_7",0.812
"449",59,18,"female","1","Container_7",0.854
"450",60,18,"female","2","Container_7",0.792
"451",61,21,"male","1","Container_7",0.831
"452",62,19,"male","2","Container_7",0.825
"453",63,18,"female","1","Container_7",0.848
"454",64,18,"female","2","Container_7",0.729
"455",65,18,"female","1","Container_7",0.75
"456",1,24,"female","1","Container_8",0.874
"457",2,23,"male","2","Container_8",0.873
"458",3,19,"female","1","Container_8",0.788
"459",4,22,"male","2","Container_8",0.782
"460",5,39,"female","1","Container_8",0.734
"461",6,22,"female","2","Container_8",0.895
"462",7,22,"male","1","Container_8",0.835
"463",8,36,"female","2","Container_8",0.804
"464",9,29,"male","1","Container_8",0.886
"465",10,22,"female","2","Container_8",0.763
"466",11,18,"female","1","Container_8",0.864
"467",12,22,"female","2","Container_8",0.836
"468",13,23,"male","1","Container_8",0.82
"469",14,32,"female","2","Container_8",0.799
"470",15,22,"female","1","Container_8",0.893
"471",16,38,"female","2","Container_8",0.854
"472",17,25,"female","1","Container_8",0.69
"473",18,33,"female","2","Container_8",0.786
"474",19,22,"female","1","Container_8",0.724
"475",20,23,"male","2","Container_8",0.873
"476",21,32,"female","1","Container_8",0.787
"477",22,33,"female","2","Container_8",0.792
"478",23,31,"male","1","Container_8",0.89
"479",24,23,"female","2","Container_8",0.808
"480",25,20,"male","1","Container_8",0.844
"481",26,25,"female","2","Container_8",0.762
"482",27,20,"male","1","Container_8",0.743
"483",28,26,"male","2","Container_8",0.791
"484",29,18,"female","1","Container_8",0.836
"485",30,19,"female","2","Container_8",0.685
"486",31,18,"female","1","Container_8",0.933
"487",32,22,"female","2","Container_8",0.841
"488",33,24,"female","1","Container_8",0.862
"489",34,22,"male","2","Container_8",0.806
"490",35,20,"female","1","Container_8",0.816
"491",36,18,"female","2","Container_8",0.8
"492",37,27,"female","1","Container_8",0.815
"493",38,19,"female","2","Container_8",0.737
"494",39,20,"female","1","Container_8",0.756
"495",40,19,"female","2","Container_8",0.665
"496",41,18,"female","1","Container_8",0.726
"497",42,19,"female","2","Container_8",0.812
"498",43,20,"female","1","Container_8",0.765
"499",44,18,"female","2","Container_8",0.871
"500",45,18,"male","1","Container_8",0.858
"501",46,24,"female","2","Container_8",0.845
"502",47,18,"female","1","Container_8",0.775
"503",48,18,"female","2","Container_8",0.855
"504",49,22,"female","1","Container_8",0.813
"505",50,22,"female","2","Container_8",0.655
"506",51,20,"female","1","Container_8",0.875
"507",52,22,"male","2","Container_8",0.748
"508",53,18,"female","1","Container_8",0.732
"509",54,18,"female","2","Container_8",0.805
"510",55,18,"female","1","Container_8",0.926
"511",56,18,"female","2","Container_8",0.783
"512",57,18,"female","1","Container_8",0.731
"513",58,18,"female","2","Container_8",0.778
"514",59,18,"female","1","Container_8",0.854
"515",60,18,"female","2","Container_8",0.805
"516",61,21,"male","1","Container_8",0.894
"517",62,19,"male","2","Container_8",0.74
"518",63,18,"female","1","Container_8",0.885
"519",64,18,"female","2","Container_8",0.734
"520",65,18,"female","1","Container_8",0.815
"521",1,24,"female","1","Container_9",1
"522",2,23,"male","2","Container_9",0.866
"523",3,19,"female","1","Container_9",0.645
"524",4,22,"male","2","Container_9",0.791
"525",5,39,"female","1","Container_9",0.933
"526",6,22,"female","2","Container_9",0.914
"527",7,22,"male","1","Container_9",0.85
"528",8,36,"female","2","Container_9",0.884
"529",9,29,"male","1","Container_9",0.956
"530",10,22,"female","2","Container_9",0.806
"531",11,18,"female","1","Container_9",0.852
"532",12,22,"female","2","Container_9",0.963
"533",13,23,"male","1","Container_9",0.877
"534",14,32,"female","2","Container_9",0.904
"535",15,22,"female","1","Container_9",0.899
"536",16,38,"female","2","Container_9",0.939
"537",17,25,"female","1","Container_9",0.713
"538",18,33,"female","2","Container_9",0.881
"539",19,22,"female","1","Container_9",0.877
"540",20,23,"male","2","Container_9",0.799
"541",21,32,"female","1","Container_9",0.791
"542",22,33,"female","2","Container_9",0.87
"543",23,31,"male","1","Container_9",0.799
"544",24,23,"female","2","Container_9",0.732
"545",25,20,"male","1","Container_9",0.742
"546",26,25,"female","2","Container_9",0.822
"547",27,20,"male","1","Container_9",0.805
"548",28,26,"male","2","Container_9",0.72
"549",29,18,"female","1","Container_9",0.777
"550",30,19,"female","2","Container_9",0.792
"551",31,18,"female","1","Container_9",0.788
"552",32,22,"female","2","Container_9",0.933
"553",33,24,"female","1","Container_9",0.799
"554",34,22,"male","2","Container_9",0.844
"555",35,20,"female","1","Container_9",0.623
"556",36,18,"female","2","Container_9",0.705
"557",37,27,"female","1","Container_9",0.816
"558",38,19,"female","2","Container_9",0.892
"559",39,20,"female","1","Container_9",0.816
"560",40,19,"female","2","Container_9",0.605
"561",41,18,"female","1","Container_9",0.616
"562",42,19,"female","2","Container_9",0.906
"563",43,20,"female","1","Container_9",0.836
"564",44,18,"female","2","Container_9",0.859
"565",45,18,"male","1","Container_9",0.888
"566",46,24,"female","2","Container_9",0.822
"567",47,18,"female","1","Container_9",0.785
"568",48,18,"female","2","Container_9",0.852
"569",49,22,"female","1","Container_9",0.889
"570",50,22,"female","2","Container_9",0.732
"571",51,20,"female","1","Container_9",0.944
"572",52,22,"male","2","Container_9",0.724
"573",53,18,"female","1","Container_9",0.668
"574",54,18,"female","2","Container_9",0.691
"575",55,18,"female","1","Container_9",1
"576",56,18,"female","2","Container_9",0.799
"577",57,18,"female","1","Container_9",0.638
"578",58,18,"female","2","Container_9",0.868
"579",59,18,"female","1","Container_9",0.852
"580",60,18,"female","2","Container_9",0.787
"581",61,21,"male","1","Container_9",0.806
"582",62,19,"male","2","Container_9",0.851
"583",63,18,"female","1","Container_9",0.944
"584",64,18,"female","2","Container_9",0.679
"585",65,18,"female","1","Container_9",0.822
"586",1,24,"female","1","Container_10",0.943
"587",2,23,"male","2","Container_10",0.854
"588",3,19,"female","1","Container_10",0.585
"589",4,22,"male","2","Container_10",0.863
"590",5,39,"female","1","Container_10",0.787
"591",6,22,"female","2","Container_10",0.928
"592",7,22,"male","1","Container_10",0.824
"593",8,36,"female","2","Container_10",0.839
"594",9,29,"male","1","Container_10",0.864
"595",10,22,"female","2","Container_10",0.761
"596",11,18,"female","1","Container_10",0.927
"597",12,22,"female","2","Container_10",0.942
"598",13,23,"male","1","Container_10",0.812
"599",14,32,"female","2","Container_10",0.938
"600",15,22,"female","1","Container_10",0.84
"601",16,38,"female","2","Container_10",0.824
"602",17,25,"female","1","Container_10",0.844
"603",18,33,"female","2","Container_10",0.768
"604",19,22,"female","1","Container_10",0.747
"605",20,23,"male","2","Container_10",0.876
"606",21,32,"female","1","Container_10",0.954
"607",22,33,"female","2","Container_10",0.752
"608",23,31,"male","1","Container_10",0.875
"609",24,23,"female","2","Container_10",0.71
"610",25,20,"male","1","Container_10",0.724
"611",26,25,"female","2","Container_10",0.979
"612",27,20,"male","1","Container_10",0.724
"613",28,26,"male","2","Container_10",0.864
"614",29,18,"female","1","Container_10",0.646
"615",30,19,"female","2","Container_10",0.688
"616",31,18,"female","1","Container_10",0.901
"617",32,22,"female","2","Container_10",0.902
"618",33,24,"female","1","Container_10",0.766
"619",34,22,"male","2","Container_10",0.761
"620",35,20,"female","1","Container_10",0.678
"621",36,18,"female","2","Container_10",0.681
"622",37,27,"female","1","Container_10",0.724
"623",38,19,"female","2","Container_10",0.724
"624",39,20,"female","1","Container_10",0.865
"625",40,19,"female","2","Container_10",0.595
"626",41,18,"female","1","Container_10",0.699
"627",42,19,"female","2","Container_10",0.877
"628",43,20,"female","1","Container_10",0.906
"629",44,18,"female","2","Container_10",0.761
"630",45,18,"male","1","Container_10",0.812
"631",46,24,"female","2","Container_10",0.693
"632",47,18,"female","1","Container_10",0.776
"633",48,18,"female","2","Container_10",0.803
"634",49,22,"female","1","Container_10",0.849
"635",50,22,"female","2","Container_10",0.761
"636",51,20,"female","1","Container_10",0.928
"637",52,22,"male","2","Container_10",0.601
"638",53,18,"female","1","Container_10",0.812
"639",54,18,"female","2","Container_10",0.623
"640",55,18,"female","1","Container_10",1
"641",56,18,"female","2","Container_10",0.781
"642",57,18,"female","1","Container_10",0.854
"643",58,18,"female","2","Container_10",0.949
"644",59,18,"female","1","Container_10",0.958
"645",60,18,"female","2","Container_10",0.849
"646",61,21,"male","1","Container_10",0.812
"647",62,19,"male","2","Container_10",0.802
"648",63,18,"female","1","Container_10",0.928
"649",64,18,"female","2","Container_10",0.704
"650",65,18,"female","1","Container_10",0.838
